Name,Description,Ref_type,Hyperlink,Type,Area,Scope,time_est,embed_code
Skeleton spine on a shirt,Tutorial for creating a skeleton back out of shirt fabric. May look cool with some mesh cut-outs.,Video,https://www.youtube.com/shorts/Kaxda0GG7Ec,Alteration,Texture,Medium,3-5 hours,<iframe src='https://www.youtube.com/embed/Kaxda0GG7Ec?si=GAAOsrkxpaDI51YT' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share' referrerpolicy='strict-origin-when-cross-origin' allowfullscreen></iframe>
Creating fabric out of hot glue,Endless possibilities for creating interesting textures out of hot glue. The simplest idea to experiment - front sculptured plate.,Video,https://www.youtube.com/shorts/c_lhV8nu7Og,Other,Texture,Medium,3-5 hours,<iframe src='https://www.youtube.com/embed/c_lhV8nu7Og?si=A33KOPvJIZhNQ703' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share' referrerpolicy='strict-origin-when-cross-origin' allowfullscreen></iframe>
Layered embroidered hole in a shirt,A way to mend a hole or whimsify a shirt.,Video,https://www.youtube.com/shorts/bkZ9D1s6E-w,Alteration,Embroidery,Small,1-3 hours,<iframe src='https://www.youtube.com/embed/bkZ9D1s6E-w?si=Mn4vqnyJaHRsY3gI' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share' referrerpolicy='strict-origin-when-cross-origin' allowfullscreen></iframe>
From a bodice to a button-up,Create a button-up shirt from a basic bodice block,Video,https://www.youtube.com/watch?v=h1JUCnw4L5s,New,Shirt,Medium,1-2 hours, <iframe src='https://www.youtube.com/embed/h1JUCnw4L5s?si=eHCjXz8iRZwecJhR' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share' referrerpolicy='strict-origin-when-cross-origin' allowfullscreen></iframe>
Simplest gloves,Tutorial for quick and easy long gloves.,Video,https://www.pinterest.com/pin/32510428557987841/,New,Gloves,Small,1-2 hours,<iframe src='https://assets.pinterest.com/ext/embed.html?id=32510428557987841' height='520' width='236' frameborder='0' scrolling='no' ></iframe>
Skeleton spine on a shirt,Another tutorial for this a skeleton back out of fabric.,Video,https://www.pinterest.com/pin/4714774605494055/,New,Texture,Medium,3-5 hours,<iframe src='https://assets.pinterest.com/ext/embed.html?id=4714774605494055' height='520' width='236' frameborder='0' scrolling='no' ></iframe>
Pattern for a Rick Owens top,Pattern and instructions for Rick Owens TEC T top.,Pattern,https://www.showstudio.com/projects/design-download/rick-owens,New,Top,Medium,3-5 hours,<div style='padding: 60px 30px;border-radius: 20px; background-color: #ffbbff;'><a style='font-size: 14pt; color: black;' href='https://www.showstudio.com/projects/design-download/rick-owens' target='_blank'>Pattern</a></div>
Pattern for a Mugler jeans ,Pattern and instructions for Mugler Spiral Denim jeans with construction instructions.,Pattern,https://www.showstudio.com/projects/design-download/mugler-by-casey-cadwallader,New,Jeans,Medium,3-5 hours,<div style='padding: 60px 30px;border-radius: 20px; background-color: #ffbbff;'><a style='font-size: 14pt; color: black;' href='https://www.showstudio.com/projects/design-download/mugler-by-casey-cadwallader' target='_blank'>Pattern</a></div>
Pattern for a button-up shirt,Basic pattern for a button-up shirt with detailed instructions.,Pattern,https://freesewing.eu/designs/simon/,New,Shirt (button up),Medium,1-3 hours,<div style='padding: 60px 30px;border-radius: 20px; background-color: #ffbbff;'><a style='font-size: 14pt; color: black;' href='https://freesewing.eu/designs/simon/' target='_blank'>Pattern</a></div>
Fluid ring,Resin molded as a water running around the finger. UX resin would work the best. ,Video,https://www.pinterest.com/pin/2603712282030589/,New,Accessory,Small,1-2 hours,<iframe src='https://assets.pinterest.com/ext/embed.html?id=2603712282030589' height='520' width='236' frameborder='0' scrolling='no' ></iframe>
Missing heart embroidery shirt,A way to whimsify and boring white (but not only) shirt.,Video,https://www.pinterest.com/pin/623326404702630279/,Alteration,Shirt,Medium,3-5 hours,<iframe src='https://assets.pinterest.com/ext/embed.html?id=623326404702630279' height='520' width='236' frameborder='0' scrolling='no' ></iframe>
Bleach and stitch,Whimsify a boring t-shirt by bleaching it and stitching around bleach stains. Use different string colors.,Video,https://www.pinterest.com/pin/376895062579905446/,Alteration,Shirt,Small,3-5 hours,<iframe src='https://assets.pinterest.com/ext/embed.html?id=376895062579905446' height='520' width='236' frameborder='0' scrolling='no' ></iframe>